N,P,K,temperature,humidity,ph,rainfall,label,Price_kg,kg_per_acre
85.00,16.00,33.00,29.87,93.25,5.48,26.00,muskmelon,1.85,6500
100.00,16.00,58.00,27.35,94.29,5.77,26.00,muskmelon,1.85,6500
102.00,22.00,33.00,27.99,92.78,5.92,26.00,muskmelon,1.85,6500
123.00,14.00,52.00,28.70,94.31,5.94,26.00,muskmelon,1.85,6500
90.00,23.00,72.00,27.08,90.14,6.39,26.00,muskmelon,1.85,6500
147.00,20.00,44.00,28.05,91.82,6.51,26.00,muskmelon,1.85,6500
113.00,13.00,48.00,28.96,91.70,6.62,26.00,muskmelon,1.85,6500
121.00,16.00,40.00,28.83,94.27,6.71,26.00,muskmelon,1.85,6500
128.00,18.00,50.00,29.07,91.92,6.99,26.00,muskmelon,1.85,6500
80.00,19.00,51.00,28.80,91.78,7.29,26.00,muskmelon,1.85,6500
72.00,16.00,46.00,29.57,93.62,7.90,26.00,muskmelon,1.85,6500
125.00,16.00,84.00,29.73,94.30,8.06,26.00,muskmelon,1.85,6500
48.00,29.00,34.00,27.12,94.87,8.09,26.00,muskmelon,1.85,6500
131.00,21.00,15.00,27.82,90.57,9.13,26.00,muskmelon,1.85,6500
132.00,17.00,58.00,27.05,91.35,9.81,26.00,muskmelon,1.85,6500
25.00,76.00,22.00,23.44,63.22,10.29,27.00,lentil,1.12,800
115.00,22.00,63.00,28.21,92.87,3.25,27.00,muskmelon,1.85,6500
79.00,22.00,68.00,29.11,92.44,3.93,27.00,muskmelon,1.85,6500
130.00,13.00,66.00,28.97,90.72,5.28,27.00,muskmelon,1.85,6500
115.00,19.00,54.00,28.00,90.85,5.61,27.00,muskmelon,1.85,6500
94.00,16.00,62.00,28.68,92.51,6.00,27.00,muskmelon,1.85,6500
100.00,18.00,60.00,29.46,92.13,6.63,27.00,muskmelon,1.85,6500
94.00,14.00,53.00,28.88,92.49,7.61,27.00,muskmelon,1.85,6500
69.00,18.00,45.00,29.13,91.52,7.80,27.00,muskmelon,1.85,6500
98.00,12.00,46.00,29.81,90.37,8.36,27.00,muskmelon,1.85,6500
19.00,58.00,23.00,27.38,63.94,7.33,28.00,lentil,1.12,800
27.00,53.00,21.00,25.18,68.93,8.56,28.00,lentil,1.12,800
25.00,55.00,21.00,20.96,63.68,8.96,28.00,lentil,1.12,800
123.00,19.00,40.00,27.58,94.12,4.29,28.00,muskmelon,1.85,6500
112.00,22.00,59.00,28.90,94.79,4.36,28.00,muskmelon,1.85,6500
102.00,22.00,60.00,28.03,91.47,4.58,28.00,muskmelon,1.85,6500
63.00,15.00,50.00,28.28,90.39,5.68,28.00,muskmelon,1.85,6500
82.00,13.00,57.00,27.05,91.38,6.54,28.00,muskmelon,1.85,6500
113.00,16.00,50.00,29.26,92.92,7.36,28.00,muskmelon,1.85,6500
23.00,75.00,21.00,25.87,61.88,7.64,29.00,lentil,1.12,800
23.00,72.00,17.00,23.79,68.03,7.75,29.00,lentil,1.12,800
13.00,27.00,33.00,27.98,53.33,2.84,29.00,mango,0.76,3000
84.00,19.00,52.00,28.47,94.79,5.18,29.00,muskmelon,1.85,6500
118.00,19.00,62.00,28.59,91.89,6.22,29.00,muskmelon,1.85,6500
74.00,13.00,38.00,28.52,92.10,8.83,29.00,muskmelon,1.85,6500
19.00,73.00,23.00,18.44,68.05,6.41,30.00,lentil,1.12,800
98.00,20.00,63.00,29.48,90.34,2.22,30.00,muskmelon,1.85,6500
84.00,16.00,58.00,28.05,90.83,8.04,30.00,muskmelon,1.85,6500
142.00,25.00,44.00,27.34,90.70,11.16,30.00,muskmelon,1.85,6500
136.00,15.00,35.00,24.07,81.64,7.85,30.00,watermelon,0.4,17700
27.00,54.00,18.00,28.17,81.05,5.51,30.46,mungbean,2.7,600
22.00,56.00,23.00,28.64,84.61,5.23,30.53,mungbean,2.7,600
16.00,57.00,23.00,29.89,80.14,8.98,30.56,mungbean,2.7,600
80.00,94.00,51.00,27.72,76.58,5.54,31.00,banana,1.25,14000
21.00,63.00,23.00,24.84,60.09,11.00,31.00,lentil,1.12,800
100.00,13.00,40.00,29.10,94.17,7.19,31.00,muskmelon,1.85,6500
132.00,5.00,77.00,29.10,94.22,7.90,31.00,muskmelon,1.85,6500
93.00,17.00,45.00,24.89,85.87,5.42,31.00,watermelon,0.4,17700
147.00,16.00,59.00,26.49,80.05,6.94,31.00,watermelon,0.4,17700
40.00,55.00,14.00,31.78,69.02,8.59,32.00,blackgram,0.59,800
24.00,65.00,70.00,17.22,15.82,7.52,32.00,chickpea,0.78,1000
24.00,52.00,22.00,24.38,61.18,6.16,32.00,lentil,1.12,800
18.00,89.00,10.00,27.60,63.46,6.93,32.00,lentil,1.12,800
23.00,66.00,25.00,26.29,68.52,7.21,32.00,lentil,1.12,800
62.00,17.00,36.00,25.54,83.32,5.01,32.00,watermelon,0.4,17700
97.00,18.00,63.00,24.90,86.11,6.48,32.00,watermelon,0.4,17700
18.00,94.00,19.00,25.93,68.71,8.27,33.00,lentil,1.12,800
18.00,16.00,8.00,16.53,94.77,7.69,33.00,orange,0.46,4800
95.00,20.00,39.00,26.74,87.82,5.17,33.00,watermelon,0.4,17700
51.00,24.00,69.00,26.26,86.15,5.47,33.00,watermelon,0.4,17700
25.00,26.00,10.00,29.78,85.17,5.04,33.13,mungbean,2.7,600
22.00,53.00,14.00,28.19,82.61,6.95,33.48,mungbean,2.7,600
24.00,43.00,24.00,27.47,87.18,5.85,33.58,mungbean,2.7,600
23.00,89.00,21.00,21.54,65.47,8.81,34.00,lentil,1.12,800
99.00,15.00,48.00,25.42,81.12,6.42,34.00,watermelon,0.4,17700
23.00,51.00,18.00,27.96,83.53,7.14,34.80,mungbean,2.7,600
17.00,55.00,22.00,28.63,89.11,8.09,34.80,mungbean,2.7,600
54.00,57.00,13.00,29.43,64.94,8.06,35.00,blackgram,0.59,800
21.00,203.00,167.00,17.67,82.93,5.05,35.00,grapes,1.2,5000
93.00,14.00,45.00,26.98,86.70,5.99,35.00,watermelon,0.4,17700
24.00,50.00,15.00,29.65,80.30,6.88,35.48,mungbean,2.7,600
24.00,130.00,253.00,17.54,82.95,7.25,36.00,grapes,1.2,5000
86.00,43.00,21.00,20.52,59.21,5.16,36.00,maize,0.32,2600
104.00,16.00,42.00,28.50,93.47,5.77,36.00,muskmelon,1.85,6500
19.00,56.00,25.00,29.57,88.08,6.20,36.17,mungbean,2.7,600
23.00,57.00,14.00,27.83,87.17,7.62,36.34,mungbean,2.7,600
15.00,44.00,20.00,29.25,84.80,4.54,36.57,mungbean,2.7,600
30.00,82.00,17.00,28.21,68.27,6.07,37.00,blackgram,0.59,800
21.00,85.00,21.00,24.02,61.62,5.30,37.00,lentil,1.12,800
20.00,55.00,19.00,29.82,69.41,5.43,37.00,lentil,1.12,800
19.00,81.00,18.00,20.39,60.48,5.53,37.00,lentil,1.12,800
109.00,48.00,23.00,25.37,72.52,5.75,37.00,maize,0.32,2600
18.00,17.00,6.00,19.67,90.50,6.63,37.00,orange,0.46,4800
47.00,74.00,54.00,17.93,15.86,8.41,38.00,chickpea,0.78,1000
60.00,51.00,28.00,24.84,68.36,4.87,38.00,maize,0.32,2600
91.00,19.00,50.00,25.38,80.99,5.61,38.00,watermelon,0.4,17700
103.00,26.00,49.00,24.93,85.01,5.94,38.00,watermelon,0.4,17700
120.00,22.00,60.00,24.68,82.75,6.18,38.00,watermelon,0.4,17700
120.00,16.00,30.00,24.25,83.04,6.60,38.00,watermelon,0.4,17700
97.00,24.00,50.00,24.04,84.18,8.04,38.00,watermelon,0.4,17700
33.00,48.00,21.00,28.29,88.44,7.10,38.10,mungbean,2.7,600
18.00,33.00,17.00,29.76,86.45,8.15,38.58,mungbean,2.7,600
22.00,49.00,25.00,29.28,81.80,7.09,38.68,mungbean,2.7,600
36.00,78.00,28.00,25.10,67.73,6.02,39.00,blackgram,0.59,800
21.00,78.00,19.00,21.32,66.44,7.56,39.00,lentil,1.12,800
120.00,16.00,34.00,24.53,88.99,7.09,39.00,watermelon,0.4,17700
132.00,20.00,58.00,25.05,85.57,8.26,39.00,watermelon,0.4,17700
21.00,48.00,26.00,28.95,89.08,8.49,39.58,mungbean,2.7,600
16.00,68.00,25.00,29.36,89.19,6.78,39.59,mungbean,2.7,600
25.00,63.00,20.00,29.21,87.11,5.70,39.75,mungbean,2.7,600
31.00,53.00,14.00,27.86,80.45,8.31,39.79,mungbean,2.7,600
28.00,45.00,22.00,27.07,86.90,9.37,39.95,mungbean,2.7,600
126.00,53.00,19.00,23.64,78.13,7.04,40.00,cotton,0.55,365
21.00,106.00,23.00,24.12,61.10,6.23,40.00,lentil,1.12,800
15.00,88.00,13.00,25.29,60.86,7.28,40.00,lentil,1.12,800
7.00,20.00,40.00,23.78,92.93,5.19,40.00,pomegranate,0.74,1700
126.00,15.00,51.00,26.28,84.42,5.93,40.00,watermelon,0.4,17700
68.00,18.00,36.00,26.18,86.73,6.32,40.00,watermelon,0.4,17700
17.00,34.00,21.00,28.36,88.01,4.07,40.28,mungbean,2.7,600
22.00,54.00,20.00,27.42,80.98,6.28,40.99,mungbean,2.7,600
63.00,58.00,20.00,25.25,83.46,7.52,41.00,cotton,0.55,365
30.00,64.00,16.00,20.97,63.83,6.83,41.00,lentil,1.12,800
15.00,64.00,24.00,26.03,69.56,6.91,41.00,lentil,1.12,800
30.00,50.00,17.00,25.13,66.93,8.16,41.00,lentil,1.12,800
38.00,49.00,29.00,25.01,67.82,6.68,41.00,maize,0.32,2600
125.00,18.00,47.00,25.11,80.03,2.78,41.00,watermelon,0.4,17700
119.00,24.00,51.00,24.75,88.31,6.94,41.00,watermelon,0.4,17700
109.00,22.00,38.00,24.43,86.34,7.70,41.00,watermelon,0.4,17700
22.00,34.00,20.00,28.69,87.50,8.24,41.94,mungbean,2.7,600
47.00,39.00,64.00,20.82,17.85,9.42,42.00,chickpea,0.78,1000
11.00,72.00,14.00,29.06,62.11,2.93,42.00,lentil,1.12,800
15.00,64.00,19.00,25.40,65.86,3.98,42.00,lentil,1.12,800
19.00,53.00,16.00,20.95,65.81,5.59,42.00,lentil,1.12,800
21.00,69.00,18.00,25.39,60.50,7.34,42.00,lentil,1.12,800
107.00,10.00,59.00,24.90,89.74,7.54,42.00,watermelon,0.4,17700
115.00,14.00,53.00,24.34,81.44,7.76,42.00,watermelon,0.4,17700
18.00,40.00,20.00,27.65,89.81,3.98,42.51,mungbean,2.7,600
21.00,46.00,29.00,29.53,86.73,9.03,42.99,mungbean,2.7,600
152.00,60.00,15.00,25.40,76.53,5.85,43.00,cotton,0.55,365
13.00,35.00,20.00,26.58,60.98,8.80,43.00,lentil,1.12,800
69.00,15.00,44.00,25.27,87.55,5.94,43.00,watermelon,0.4,17700
149.00,13.00,70.00,26.07,88.73,6.82,43.00,watermelon,0.4,17700
108.00,25.00,45.00,26.79,89.65,7.03,43.00,watermelon,0.4,17700
15.00,45.00,17.00,28.95,81.67,7.93,43.08,mungbean,2.7,600
22.00,46.00,25.00,29.88,83.15,7.10,43.48,mungbean,2.7,600
21.00,45.00,20.00,27.54,89.93,6.34,43.53,mungbean,2.7,600
33.00,41.00,16.00,27.84,90.00,3.86,43.67,mungbean,2.7,600
15.00,31.00,23.00,29.87,85.99,7.77,43.93,mungbean,2.7,600
46.00,86.00,107.00,17.08,16.15,5.76,44.00,chickpea,0.78,1000
147.00,42.00,24.00,22.80,84.15,5.02,44.00,cotton,0.55,365
34.00,153.00,195.00,37.47,80.66,6.21,44.00,grapes,1.2,5000
20.00,159.00,184.00,39.04,80.18,6.87,44.00,grapes,1.2,5000
72.00,41.00,18.00,23.31,63.25,5.76,44.00,maize,0.32,2600
85.00,52.00,22.00,24.71,56.73,5.79,44.00,maize,0.32,2600
29.00,55.00,22.00,29.22,87.94,7.13,44.00,mungbean,2.7,600
22.00,42.00,15.00,29.83,89.30,6.56,44.70,mungbean,2.7,600
54.00,70.00,17.00,31.66,60.13,7.45,45.00,blackgram,0.59,800
45.00,68.00,52.00,20.12,14.44,6.69,45.00,chickpea,0.78,1000
102.00,42.00,14.00,22.15,82.86,7.68,45.00,cotton,0.55,365
26.00,104.00,263.00,41.95,81.16,4.07,45.00,grapes,1.2,5000
26.00,25.00,31.00,28.33,51.40,5.93,45.00,mango,0.76,3000
109.00,7.00,57.00,26.82,87.66,3.52,45.00,watermelon,0.4,17700
126.00,15.00,49.00,26.99,89.41,4.41,45.00,watermelon,0.4,17700
113.00,28.00,51.00,26.82,87.83,6.47,45.00,watermelon,0.4,17700
107.00,17.00,42.00,24.91,86.97,6.99,45.00,watermelon,0.4,17700
116.00,19.00,49.00,24.37,81.25,7.11,45.00,watermelon,0.4,17700
62.00,53.00,23.00,34.04,67.21,6.33,46.00,blackgram,0.59,800
42.00,54.00,9.00,31.74,62.51,9.20,46.00,blackgram,0.59,800
112.00,41.00,23.00,23.61,79.30,5.58,46.00,cotton,0.55,365
90.00,60.00,14.00,23.04,76.47,6.09,46.00,cotton,0.55,365
31.00,192.00,145.00,9.72,83.75,6.60,46.00,grapes,1.2,5000
19.00,72.00,16.00,28.75,69.16,7.56,46.00,lentil,1.12,800
70.00,18.00,33.00,25.19,83.45,5.74,46.00,watermelon,0.4,17700
112.00,17.00,42.00,26.22,80.90,5.88,46.00,watermelon,0.4,17700
77.00,13.00,52.00,25.86,86.67,6.12,46.00,watermelon,0.4,17700
111.00,17.00,49.00,24.29,88.05,6.62,46.00,watermelon,0.4,17700
132.00,20.00,46.00,24.42,89.40,6.85,46.00,watermelon,0.4,17700
111.00,15.00,50.00,24.21,84.21,8.36,46.00,watermelon,0.4,17700
19.00,54.00,17.00,28.03,84.88,5.76,46.10,mungbean,2.7,600
24.00,63.00,13.00,29.27,89.49,7.51,46.22,mungbean,2.7,600
23.00,47.00,22.00,28.55,88.96,7.58,46.47,mungbean,2.7,600
23.00,57.00,17.00,29.86,80.03,10.91,46.61,mungbean,2.7,600
40.00,87.00,18.00,32.35,66.61,10.24,47.00,blackgram,0.59,800
109.00,42.00,12.00,23.44,78.63,5.73,47.00,cotton,0.55,365
142.00,48.00,22.00,24.19,76.04,6.47,47.00,cotton,0.55,365
15.00,78.00,23.00,25.71,64.11,4.55,47.00,lentil,1.12,800
21.00,87.00,14.00,18.29,69.49,7.89,47.00,lentil,1.12,800
14.00,24.00,29.00,35.40,49.46,6.18,47.00,mango,0.76,3000
13.00,61.00,20.00,27.11,87.45,6.60,47.00,mungbean,2.7,600
30.00,33.00,26.00,29.65,88.49,7.53,47.25,mungbean,2.7,600
19.00,37.00,15.00,28.28,82.76,7.94,47.38,mungbean,2.7,600
24.00,51.00,34.00,27.39,88.67,10.53,47.85,mungbean,2.7,600
47.00,81.00,26.00,29.36,64.99,6.02,48.00,blackgram,0.59,800
53.00,72.00,20.00,28.50,60.45,7.16,48.00,blackgram,0.59,800
173.00,64.00,24.00,23.66,84.48,7.28,48.00,cotton,0.55,365
23.00,96.00,23.00,18.06,65.10,5.90,48.00,lentil,1.12,800
19.00,50.00,19.00,28.05,64.08,6.81,48.00,lentil,1.12,800
17.00,53.00,16.00,22.64,65.45,9.42,48.00,lentil,1.12,800
81.00,14.00,65.00,26.13,86.55,4.84,48.00,watermelon,0.4,17700
83.00,10.00,58.00,25.67,88.70,5.44,48.00,watermelon,0.4,17700
118.00,12.00,31.00,26.81,87.22,5.95,48.00,watermelon,0.4,17700
108.00,11.00,57.00,24.13,84.84,5.98,48.00,watermelon,0.4,17700
90.00,19.00,68.00,26.04,84.64,6.92,48.00,watermelon,0.4,17700
112.00,17.00,41.00,26.22,81.01,9.48,48.00,watermelon,0.4,17700
25.00,52.00,28.00,27.61,86.13,8.54,48.23,mungbean,2.7,600
15.00,38.00,21.00,27.88,86.45,8.54,48.23,mungbean,2.7,600
17.00,48.00,23.00,29.68,87.94,3.67,48.43,mungbean,2.7,600
18.00,36.00,11.00,28.73,89.13,7.31,48.45,mungbean,2.7,600
24.00,63.00,18.00,29.41,86.16,5.89,48.53,mungbean,2.7,600
75.00,73.00,18.00,29.42,83.97,5.34,49.00,banana,1.25,14000
43.00,50.00,15.00,29.59,68.32,9.79,49.00,blackgram,0.59,800
44.00,66.00,62.00,17.49,16.96,6.62,49.00,chickpea,0.78,1000
40.00,78.00,94.00,19.81,14.70,7.28,49.00,chickpea,0.78,1000
40.00,55.00,14.00,23.10,84.86,6.45,49.00,cotton,0.55,365
26.00,116.00,180.00,11.02,80.56,3.83,49.00,grapes,1.2,5000
21.00,160.00,190.00,33.46,83.87,10.17,49.00,grapes,1.2,5000
18.00,86.00,15.00,19.59,61.29,8.61,49.00,lentil,1.12,800
91.00,44.00,17.00,22.22,72.85,6.79,49.00,maize,0.32,2600
15.00,25.00,54.00,24.84,86.89,7.64,49.00,pomegranate,0.74,1700
100.00,4.00,51.00,25.14,89.28,5.37,49.00,watermelon,0.4,17700
98.00,17.00,57.00,24.54,84.61,5.66,49.00,watermelon,0.4,17700
94.00,21.00,45.00,26.59,81.33,6.31,49.00,watermelon,0.4,17700
140.00,16.00,45.00,26.64,84.70,8.13,49.00,watermelon,0.4,17700
112.00,21.00,37.00,24.64,85.50,8.72,49.00,watermelon,0.4,17700
115.00,20.00,72.00,25.51,84.24,9.05,49.00,watermelon,0.4,17700
16.00,39.00,20.00,28.22,82.36,5.61,49.25,mungbean,2.7,600
17.00,49.00,21.00,27.11,84.97,5.95,49.90,mungbean,2.7,600
22.00,36.00,15.00,27.93,86.55,8.88,49.93,mungbean,2.7,600
108.00,98.00,69.00,29.01,77.95,5.31,50.00,banana,1.25,14000
49.00,67.00,19.00,26.73,68.14,6.56,50.00,blackgram,0.59,800
22.00,100.00,30.00,27.16,66.76,7.36,50.00,blackgram,0.59,800
23.00,54.00,164.00,40.66,81.25,6.58,50.00,grapes,1.2,5000
14.00,130.00,163.00,23.60,82.48,7.28,50.00,grapes,1.2,5000
12.00,79.00,19.00,20.05,65.84,7.31,50.00,lentil,1.12,800
15.00,81.00,27.00,21.36,69.92,9.37,50.00,lentil,1.12,800
16.00,96.00,24.00,23.19,62.75,9.49,50.00,lentil,1.12,800
19.00,73.00,12.00,25.79,60.28,10.71,50.00,lentil,1.12,800
80.00,57.00,14.00,22.88,71.60,7.56,50.00,maize,0.32,2600
28.00,20.00,33.00,18.10,85.71,4.18,50.00,pomegranate,0.74,1700
23.00,20.00,42.00,19.81,88.93,6.08,50.00,pomegranate,0.74,1700
79.00,12.00,57.00,25.33,84.31,5.91,50.00,watermelon,0.4,17700
19.00,49.00,25.00,27.11,83.64,5.35,50.18,mungbean,2.7,600
21.00,50.00,23.00,28.45,82.68,9.36,50.31,mungbean,2.7,600
42.00,72.00,19.00,33.86,61.57,6.27,51.00,blackgram,0.59,800
25.00,156.00,157.00,28.58,80.96,5.51,51.00,grapes,1.2,5000
15.00,165.00,206.00,32.45,83.89,5.81,51.00,grapes,1.2,5000
11.00,63.00,27.00,28.00,68.64,6.74,51.00,lentil,1.12,800
17.00,104.00,19.00,24.71,60.27,6.96,51.00,lentil,1.12,800
17.00,71.00,27.00,28.32,60.19,7.61,51.00,lentil,1.12,800
29.00,93.00,13.00,29.03,64.49,8.69,51.00,lentil,1.12,800
24.00,26.00,17.00,28.22,47.41,5.52,51.00,mango,0.76,3000
100.00,15.00,36.00,24.72,88.95,4.20,51.00,watermelon,0.4,17700
99.00,21.00,59.00,25.76,84.17,6.02,51.00,watermelon,0.4,17700
16.00,47.00,24.00,27.77,87.10,5.53,51.12,mungbean,2.7,600
22.00,43.00,16.00,29.88,87.33,9.20,51.39,mungbean,2.7,600
21.00,47.00,21.00,28.56,83.25,6.74,51.52,mungbean,2.7,600
59.00,49.00,12.00,28.63,66.77,4.54,52.00,blackgram,0.59,800
39.00,77.00,95.00,19.12,18.43,7.22,52.00,chickpea,0.78,1000
144.00,43.00,27.00,23.96,78.03,6.26,52.00,cotton,0.55,365
18.00,157.00,210.00,41.36,82.80,8.73,52.00,grapes,1.2,5000
22.00,133.00,212.00,10.72,80.02,8.91,52.00,grapes,1.2,5000
24.00,126.00,157.00,11.80,80.86,9.36,52.00,grapes,1.2,5000
94.00,62.00,23.00,24.61,73.59,4.44,52.00,maize,0.32,2600
20.00,15.00,31.00,20.86,91.62,7.74,52.00,pomegranate,0.74,1700
117.00,20.00,36.00,24.90,87.21,8.44,52.00,watermelon,0.4,17700
18.00,46.00,28.00,28.07,85.92,10.72,52.07,mungbean,2.7,600
22.00,62.00,12.00,29.66,84.28,7.95,52.20,mungbean,2.7,600
20.00,38.00,20.00,28.36,87.60,5.41,52.82,mungbean,2.7,600
26.00,45.00,7.00,28.78,86.69,7.47,52.89,mungbean,2.7,600
13.00,40.00,16.00,29.07,83.69,3.55,52.93,mungbean,2.7,600
